Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : roof , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : horse , cow , lion , tiger , elephant , pig , bear , mouse , log , cat . And the other : elephant , tiger , pig , bear , horse , cat , lion , mouse , cow , log .
Before the meeting , Mary wrote down the following lists of words . One was : cat , horse , cow , lion , tiger , elephant , pig , bear , mouse , log . And the other : cow , cat , bear , mouse , pig , horse , lion , elephant , log , tiger .
Before the meeting , Mary wrote down the following lists of words . One was : fly , ant , bee , mosquito , spider , beetle , wasp , moth , flea , butterfly . And the other : mosquito , butterfly , fly , spider , moth , flea , bee , wasp , ant , beetle .
Before the meeting , Mary wrote down the following lists of words . One was : butterfly , fly , ant , bee , mosquito , spider , beetle , wasp , moth , flea . And the other : flea , butterfly , wasp , fly , bee , ant , beetle , moth , mosquito , spider .
Before the meeting , Mary wrote down the following lists of words . One was : flea , butterfly , fly , ant , bee , mosquito , spider , beetle , wasp , moth . And the other : beetle , butterfly , mosquito , moth , spider , fly , ant , bee , wasp , flea .
Before the meeting , Mary wrote down the following lists of words . One was : moth , flea , butterfly , fly , ant , bee , mosquito , spider , beetle , wasp . And the other : flea , bee , spider , mosquito , fly , ant , beetle , wasp , moth , butterfly .
Before the meeting , Mary wrote down the following lists of words . One was : wasp , moth , flea , butterfly , fly , ant , bee , mosquito , spider , beetle . And the other : mosquito , wasp , moth , fly , beetle , butterfly , flea , spider , bee , ant .
Before the meeting , Mary wrote down the following lists of words . One was : beetle , wasp , moth , flea , butterfly , fly , ant , bee , mosquito , spider . And the other : beetle , ant , moth , butterfly , spider , fly , flea , wasp , bee , mosquito .
Before the meeting , Mary wrote down the following lists of words . One was : spider , beetle , wasp , moth , flea , butterfly , fly , ant , bee , mosquito . And the other : butterfly , beetle , fly , wasp , spider , ant , mosquito , moth , bee , flea .
Before the meeting , Mary wrote down the following lists of words . One was : mosquito , spider , beetle , wasp , moth , flea , butterfly , fly , ant , bee . And the other : bee , wasp , moth , mosquito , ant , beetle , butterfly , spider , fly , flea .
Before the meeting , Mary wrote down the following lists of words . One was : bee , mosquito , spider , beetle , wasp , moth , flea , butterfly , fly , ant . And the other : spider , beetle , ant , fly , flea , mosquito , moth , bee , butterfly , wasp .
Before the meeting , Mary wrote down the following lists of words . One was : ant , bee , mosquito , spider , beetle , wasp , moth , flea , butterfly , fly . And the other : beetle , spider , bee , mosquito , butterfly , fly , flea , ant , wasp , moth .
Before the meeting , Mary wrote down the following lists of words . One was : blue , red , green , yellow , black , purple , white , pink , brown , blonde . And the other : blue , white , red , green , purple , yellow , blonde , pink , black , brown .
Before the meeting , Mary wrote down the following lists of words . One was : blonde , blue , red , green , yellow , black , purple , white , pink , brown . And the other : brown , blonde , black , yellow , red , green , white , pink , purple , blue .
Before the meeting , Mary wrote down the following lists of words . One was : brown , blonde , blue , red , green , yellow , black , purple , white , pink . And the other : white , blonde , yellow , black , purple , green , blue , red , pink , brown .
Before the meeting , Mary wrote down the following lists of words . One was : pink , brown , blonde , blue , red , green , yellow , black , purple , white . And the other : green , pink , blue , purple , blonde , yellow , white , red , black , brown .
Before the meeting , Mary wrote down the following lists of words . One was : white , pink , brown , blonde , blue , red , green , yellow , black , purple . And the other : black , white , purple , blue , red , green , pink , brown , blonde , yellow .
Before the meeting , Mary wrote down the following lists of words . One was : purple , white , pink , brown , blonde , blue , red , green , yellow , black . And the other : white , purple , green , black , red , yellow , pink , blue , brown , blonde .
Before the meeting , Mary wrote down the following lists of words . One was : black , purple , white , pink , brown , blonde , blue , red , green , yellow . And the other : brown , blonde , white , red , blue , black , purple , pink , green , yellow .
Before the meeting , Mary wrote down the following lists of words . One was : yellow , black , purple , white , pink , brown , blonde , blue , red , green . And the other : blue , pink , red , brown , green , black , purple , blonde , white , yellow .
Before the meeting , Mary wrote down the following lists of words . One was : green , yellow , black , purple , white , pink , brown , blonde , blue , red . And the other : red , purple , blue , brown , yellow , white , black , blonde , pink , green .
Before the meeting , Mary wrote down the following lists of words . One was : red , green , yellow , black , purple , white , pink , brown , blonde , blue . And the other : brown , blue , red , yellow , blonde , black , pink , white , purple , green .
Before the meeting , Mary wrote down the following lists of words . One was : cotton , wool , silk , rayon , linen , satin , velvet , denim , canvas , felt . And the other : cotton , felt , linen , silk , denim , rayon , satin , canvas , wool , velvet .
Before the meeting , Mary wrote down the following lists of words . One was : felt , cotton , wool , silk , rayon , linen , satin , velvet , denim , canvas . And the other : rayon , denim , wool , felt , satin , silk , linen , velvet , cotton , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : canvas , felt , cotton , wool , silk , rayon , linen , satin , velvet , denim . And the other : velvet , canvas , wool , silk , linen , denim , rayon , felt , cotton , satin .
Before the meeting , Mary wrote down the following lists of words . One was : denim , canvas , felt , cotton , wool , silk , rayon , linen , satin , velvet . And the other : rayon , wool , denim , cotton , satin , velvet , felt , canvas , linen , silk .
Before the meeting , Mary wrote down the following lists of words . One was : velvet , denim , canvas , felt , cotton , wool , silk , rayon , linen , satin . And the other : satin , wool , denim , linen , velvet , rayon , silk , canvas , felt , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : satin , velvet , denim , canvas , felt , cotton , wool , silk , rayon , linen . And the other : rayon , silk , velvet , satin , canvas , denim , wool , cotton , linen , felt .
Before the meeting , Mary wrote down the following lists of words . One was : linen , satin , velvet , denim , canvas , felt , cotton , wool , silk , rayon . And the other : cotton , linen , wool , satin , velvet , rayon , silk , denim , felt , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : rayon , linen , satin , velvet , denim , canvas , felt , cotton , wool , silk . And the other : silk , denim , linen , canvas , wool , satin , felt , cotton , rayon , velvet .
Before the meeting , Mary wrote down the following lists of words . One was : silk , rayon , linen , satin , velvet , denim , canvas , felt , cotton , wool . And the other : felt , silk , wool , linen , denim , rayon , satin , canvas , cotton , velvet .
Before the meeting , Mary wrote down the following lists of words . One was : wool , silk , rayon , linen , satin , velvet , denim , canvas , felt , cotton . And the other : denim , canvas , satin , velvet , linen , felt , rayon , silk , wool , cotton .
